source,date,link,n_comments,title,comment_1_author,comment_1_location,comment_1_date,comment_1_text,comment_1_likes,comment_1_dislikes,comment_2_author,comment_2_location,comment_2_date,comment_2_text,comment_2_likes,comment_2_dislikes,comment_3_author,comment_3_location,comment_3_date,comment_3_text,comment_3_likes,comment_3_dislikes,comment_4_author,comment_4_location,comment_4_date,comment_4_text,comment_4_likes,comment_4_dislikes,comment_5_author,comment_5_location,comment_5_date,comment_5_text,comment_5_likes,comment_5_dislikes,comment_6_author,comment_6_location,comment_6_date,comment_6_text,comment_6_likes,comment_6_dislikes,comment_7_author,comment_7_location,comment_7_date,comment_7_text,comment_7_likes,comment_7_dislikes,comment_8_author,comment_8_location,comment_8_date,comment_8_text,comment_8_likes,comment_8_dislikes,comment_9_author,comment_9_location,comment_9_date,comment_9_text,comment_9_likes,comment_9_dislikes,comment_10_author,comment_10_location,comment_10_date,comment_10_text,comment_10_likes,comment_10_dislikes,comment_11_author,comment_11_location,comment_11_date,comment_11_text,comment_11_likes,comment_11_dislikes,comment_12_author,comment_12_location,comment_12_date,comment_12_text,comment_12_likes,comment_12_dislikes,comment_13_author,comment_13_location,comment_13_date,comment_13_text,comment_13_likes,comment_13_dislikes,comment_14_author,comment_14_location,comment_14_date,comment_14_text,comment_14_likes,comment_14_dislikes,comment_15_author,comment_15_location,comment_15_date,comment_15_text,comment_15_likes,comment_15_dislikes,fecha_filtrado,filtro_aplicado
Cousas de Carragal,2025-05-29T09:27:00,https://cousasdecarragal.blogspot.com/2025/05/marin-ufff-que-calor-el-concello-de.html,1,MARIN. !UFFF QUE CALOR¡. EL CONCELLO DE MARIN PONE EN FUNCIONAMIENTO LOS 'XOGOS DE AUGA' DEL PASEO ALCALDE BLANCO,Anónimo,,"31 de mayo de 2025, 9:48","Buen día , los juegos de niños del paso alcance blanco.Les vendría de maravilla a los pequeños para este calor de sofocante.¡Que Viva Marín!",0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
Cousas de Carragal,2025-05-23T13:58:00,https://cousasdecarragal.blogspot.com/2025/05/marin-defunciones-fallecimiento-de-la_23.html,1,MARÍN. DEFUNCIONES. FALLECIMIENTO DE LA SEÑORA MARÍA GONZÁLEZ DE LA TORRE A LOS  90 AÑOS DE EDAD. DEP,Anónimo,,"23 de mayo de 2025, 14:01",D.E.P. mi mas sentido pésame a su familia ❤️,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
Cousas de Carragal,2025-05-23T08:51:00,https://cousasdecarragal.blogspot.com/2025/05/marin-defensa-dice-no-la-cesion-de.html,3,MARÍN. DEFENSA DICE NO A LA CESIÓN DE TERRENOS RECLAMADA POR EL BNG PARA 'A CONEXIÓN DA VILA CO MAR',Anónimo,,"23 de mayo de 2025, 18:56","Buenas tardes, gracias por compartir, lo saludó.",0,0,Anónimo,,"23 de mayo de 2025, 19:06",Que raro que no quieran ceder parte de unos terrenos que les fueron expropiados a muchas familias y al pueblo de Marín en su conjunto.,0,0,Anónimo,,"27 de mayo de 2025, 22:42",No puedo ni kiero habrá pero  si tanto cariño tienen a los militares de  Marín  ke. Lesx pregunten a los nietos yhijos del premier1 saarguetoby otos más primeras fragatas  ke fundaron  nuestra Rías o Villas como la  Navegante  Canarias  gran Frlota de España.,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
Cousas de Carragal,2025-05-18T10:19:00,https://cousasdecarragal.blogspot.com/2025/05/marin-boletin-de-politica-municipal-el.html,2,MARÍN. BOLETIN DE POLITICA MUNICIPAL. EL BNG PIDE LIMPIEZA EN LA PLAYA DE LOIRA Y EL PSOE DENUNCIA DESCONTROL DE PAGO DE HORAS EXTRAS A FUNCIONARIOS,Anónimo,,"19 de mayo de 2025, 22:19","A Conselleira do BNG Celia García ten toda a razón. Moitas persoas morren sen recibir a axuda que solicitaron. Supoño que os que gobernan na Xunta e no Concello de Marín si teñen o seu cargo persoas dependentes, ou teñen cartos dabondo para que os atenda alguen na casa, ou igual teñen cartos de sobra para acudir a unha residencia privada, ou sinon non o entendo.",0,0,Anónimo,,"26 de mayo de 2025, 14:37",Repasen a prensa de Setembro de 2014.  E exactamente o mesmo.  Non e nada novo.   Seguen da mesma forma porque nin hai vontade en resolve-lo ou no PSOE en non facer nada mais que protestar.,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
Cousas de Carragal,2025-04-20T09:54:00,https://cousasdecarragal.blogspot.com/2025/04/marin-operacion-abrir-marin-al-mar-el.html,1,MARÍN. OPERACIÒN 'ABRIR MARÍN AL MAR'. EL BNG REIVINDICA ANTE EL CONGRESO LA CESIÓN DE ESPACIOS DE LA ENM Y EL PUERTO,Anónimo,,"20 de abril de 2025, 23:37",O BNG está demostrando que é o único grupo do Concello que ten iniciativas e se molla polos marinenses. A os outros grupos: menos festas e mais traballar,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
Cousas de Carragal,2025-04-15T09:36:00,https://cousasdecarragal.blogspot.com/2025/04/marin-opinion-duas-veces-na-mesma-pedra.html,1,MARÍN. OPINIÓN. 'DUAS VECES NA MESMA PEDRA'. POR ASOCIACIÓN CULTURAL 'ALMUINHA,Anónimo,,"15 de abril de 2025, 17:44","Los rellenos que va a llevar a cabo la Autoridad Portuaria del puerto de Marin no tienen más motivo que ""blindar"" la zona ante futuras reclamaciones de espacio, o dicho de otra forma, de reclamar abrir  Marin al mar. Escudándose ahora el ente portuario en la necesidad de muelles con mayor calado. Amen de blindar de forma colateral los intereses del concesionario de mantener la ubicación  y posteriores renovaciones de la concesión de la terminal cubierta. No fuera a ser que la ciudadanía o algún grupo político lo reclamarse como opción de la ansiada recuperación de la fachada litoral. Una vez realizada, aunque se ganase por vía judicial la posible reclamación o derecho, sería más de lo mismo.....sentencia favorable a los intereses del pueblo pero.....irrealizable. (Lease Paso del tren por Placeres, rellenos portuarios ilegales). Casos idénticos del ""modus operandi"" de la Autoridad Portuaria y de reciente actuación son: La parcela portuaria, anexa al Parque Azul que reclamaba  el anterior edil socialista, D. Francisco Veiga, para la ubicación del Auditorio y sedes para deportes nauticos, que no tardó en blindar la Autoridad Portuaria con una ocupacion , concesion, para así blindar una posible concesión. Parecida actuación es la que motivo el almacenamiento de contenedores en el mismo frente de los rellenos ganados al mar y que son la principal reclamación por parte de la ciudadania. En fin, pura estrategia, para favorecer unos intereses y escudarse, blindarse ante futuras reclamaciones.",0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
Cousas de Carragal,2025-04-15T09:01:00,https://cousasdecarragal.blogspot.com/2025/04/marin-promesas-y-proyectos-la-alcaldesa.html,1,MARÍN. PROMESAS Y PROYECTOS. LA ALCALDESA ANUNCIA NUEVAS INTERVENCIONES DE MEJORA EN COTORREDONDO-LAGO DE CASTIÑEIRAS,Anónimo,,"15 de abril de 2025, 15:07",Que pena de políticos que non merecemosDeixaron Cairo o prometo de un bosque botánico por un millón de euros e ahora están a gastalos de mala maneira,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
Cousas de Carragal,2025-04-13T09:11:00,https://cousasdecarragal.blogspot.com/2025/04/marin-politica-municipal-despilfarro.html,2,MARÍN. POLÍTICA MUNICIPAL. DESPILFARRO DEL GOBIERNO LOCAL (ACUSA EL PSOE) Y 'HERDANZA FRANQUISTA' DEL PP (ACUSA EL BNG),Anónimo,,"13 de abril de 2025, 10:45",MAS DE LO MISMO,0,0,Anónimo,,"13 de abril de 2025, 14:32",Queda claro que o goberno municipal de Marín simpatiza e comulga descaradamente cos que deron o golpe de estado no verán do 36 e asasinaron a preto de 200 veciños de Marín por pensar diferente.,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
Cousas de Carragal,2025-04-10T08:04:00,https://cousasdecarragal.blogspot.com/2025/04/marin-en-busca-del-remedio-dos-nuevos.html,1,MARÍN. EN BUSCA DEL REMEDIO. DOS NUEVOS DISUASORIOS EN INFERNIÑO AMPLIAN EN 200 LAS PLAZAS DE 'PARKINGMIENTO' YA EXISTENTES,Anónimo,,"11 de abril de 2025, 11:58",La ley establece que por cada 40 plazas de aparcamiento tiene que haber 1 para discapacitados. Dónde están esas plazas para discapacitados?.,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
Cousas de Carragal,2025-03-24T07:57:00,https://cousasdecarragal.blogspot.com/2025/03/marin-la-recomendada-ruta-das-mamoas.html,2,"MARÍN., LA RECOMENDADA RUTA DAS MAMOAS. POR ANGEL G. CARRAGAL",Anónimo,,"24 de marzo de 2025, 10:27",Unha ruta de 7'5 metros... Como que se queda corta.,0,0,Anónimo,,"24 de marzo de 2025, 13:41",Kilómetros. Gracias,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
