source,date,link,n_comments,title,comment_1_author,comment_1_location,comment_1_date,comment_1_text,comment_1_likes,comment_1_dislikes,comment_2_author,comment_2_location,comment_2_date,comment_2_text,comment_2_likes,comment_2_dislikes,comment_3_author,comment_3_location,comment_3_date,comment_3_text,comment_3_likes,comment_3_dislikes,comment_4_author,comment_4_location,comment_4_date,comment_4_text,comment_4_likes,comment_4_dislikes,comment_5_author,comment_5_location,comment_5_date,comment_5_text,comment_5_likes,comment_5_dislikes,comment_6_author,comment_6_location,comment_6_date,comment_6_text,comment_6_likes,comment_6_dislikes,comment_7_author,comment_7_location,comment_7_date,comment_7_text,comment_7_likes,comment_7_dislikes,comment_8_author,comment_8_location,comment_8_date,comment_8_text,comment_8_likes,comment_8_dislikes,comment_9_author,comment_9_location,comment_9_date,comment_9_text,comment_9_likes,comment_9_dislikes,comment_10_author,comment_10_location,comment_10_date,comment_10_text,comment_10_likes,comment_10_dislikes,comment_11_author,comment_11_location,comment_11_date,comment_11_text,comment_11_likes,comment_11_dislikes,comment_12_author,comment_12_location,comment_12_date,comment_12_text,comment_12_likes,comment_12_dislikes,comment_13_author,comment_13_location,comment_13_date,comment_13_text,comment_13_likes,comment_13_dislikes,comment_14_author,comment_14_location,comment_14_date,comment_14_text,comment_14_likes,comment_14_dislikes,comment_15_author,comment_15_location,comment_15_date,comment_15_text,comment_15_likes,comment_15_dislikes,fecha_filtrado,filtro_aplicado
Diario de Pontevedra,2025-05-24T06:00:00,https://www.diariodepontevedra.es/articulo/o-morrazo/defensa-cedera-mas-terrenos-escuela-naval-concello-marin/202505232024331392201.html,2,Defensa no cederá más terrenos de la Escuela Naval Militar al Concello de Marín,Jl,,24/05/25 19:04 19:04,Ceder non ceden nin un metro .Dis que faille falta.E logo salen a correr as praias.Siguelle facendo a ola señora alcaldesa.Mexan enr.........,0,1,Bxh,,24/05/25 16:32 16:32,"Y hace bien. Es más, debería ampliarlos. Algunos inconscientemente debilitan a España pero otros lo hacen a conciencia y la Historia ya nos enseñó para que se hacen los caballos de Troya; si otras flotas de su ideología anclaran en Marín aplaudirían a más no poder. En sistemas democráticos como el español (que hay que cuidar cada día porque no nos lo van a defender otros) cada uno piensa lo que quiera pero no se debe ser ingenuo ya que imperios ideológicos o territoriales o de otro tipo cuidan a alguna gente porque ayudan a debilitar a su competencia, es decir, a los otros imperios. Pero desde el punto de vista civil también van en dirección opuesta al progreso (progreso, no progresismo que muchas veces es regresismo como bien se ve cada día). Barcelona tiene puerto en la ciudad, y Málaga, y Tarragona. La mayor base naval del mundo está en Norfolk en Estados Unidos y la ciudad tiene 250.000 habitantes. El “área” metropolitana una población de un millón y medio de personas. ¿Se imaginan Marín con 250.000 habitantes? ¿La cantidad de riqueza que eso genera y de poder para exigir autopistas, Aves…? Marín debería aumentar la base naval y el puerto civil, muchísimo pero muchísimo más.",2,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
Diario de Pontevedra,2025-05-17T20:38:00,https://www.diariodepontevedra.es/articulo/o-morrazo/ceip-ardan-acolle-domingo-dia-das-familias-recadar-fondos/202505172038561391259.html,1,O CEIP de Ardán acolle este domingo o Día das Familias para recadar fondos,jairod,,18/05/25 8:10 8:10,Qué guay,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
Diario de Pontevedra,2025-05-01T20:24:00,https://www.diariodepontevedra.es/articulo/o-morrazo/cantodarea-vive-fiesta-honor-patron-san-jose-obrero/202505012024591388664.html,1,Cantodarea celebra la fiesta en honor a su patrón San José Obrero,Choco de abaixo,,02/05/25 10:15 10:15,"Ya que insistimos en conservar ""tradiciones"" como la tirada de bombitas para anunciar fiestas, no perdamos los pregoneros a caballo para que la gente se entere de las cosas aunque haya otros medios, y tampoco la de tirar la cabra del campanario o desechar a los humanos inservibles como parece que hacían en Esparta. Curioso esto de conservar ""tradiciones"" absurdas.",1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
Diario de Pontevedra,2025-03-27T19:47:00,https://www.diariodepontevedra.es/articulo/o-morrazo/bng-critica-que-pp-perpetue-herdanza-franquista-marin/202503271947581383495.html,1,"O BNG critica que o PP perpetúe ""a herdanza franquista"" en Marín",Vaidebaranda,,28/03/25 9:09 9:09,"Mucho memoria historica pero solamente a lo que estos bloqueros y socilistos del Psoe les interesa yo les preguntaría "" DONDE ESTA EL ORO DE MOSCU"" ¿ Que han hecho con las 510 TM de Oro de las reservas de Banco de España? ¿ Quienes vivieron a cuenta de ese Oro ? . Hoy en día esas 510 toneladas tendrían un valor superior a los unos 20.000 millones de €. le preguntaría a Pedro Sánchez como sucesor de Largo Caballero que fue quien lo saco de España con destino a Moscú que se hizo, en que se gastó, quinees vivieron a cuenta de ese oro.....La memoria historica no solo es borrar nombres del pasado es restituir ese oro que eran Reservas de TODOS los Españoles.",4,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
Diario de Pontevedra,2025-06-01T16:36:38.170823,https://www.diariodepontevedra.es/articulo/o-morrazo/psoe-afirma-que-empleando-material-menor-calidad-concepcion-arenal/202408101810281315679.html,1,El PSOE de Marín afirma que se está empleando material de menor calidad en Concepción Arenal,"Pedro Álvarez de Sotomayor, conde de Camiña, Vizconde de Tui y señor de Baiona",,11/08/24 12:09 12:09,"Donde seguro se está empleando ""material"" de peor calidad es en los directores, directoras y directoros de Máster en la UCM. Cuál es la opinión del Partido de los socialistos, antes obrero, de España.",1,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
Diario de Pontevedra,2025-06-01T16:41:11.880797,https://www.diariodepontevedra.es/articulo/o-morrazo/marin/202408021356451314802.html,3,"Marín, una de las localidades costeras españolas con el precio de vivienda más bajo",Discordia,,03/08/24 12:40 12:40,En Marín la vivienda es carísima.,3,1,SIN MAR,,02/08/24 15:32 15:32,"Comprar unha vivenda en Marín que dende o casco urbano non se ve o mar non ten tirón, o único si che gusta ter vista a contenedores.",0,1,Tori bio,,02/08/24 14:48 14:48,"Cómo puede ser? Seguro que no tiene nada que ver con la presencia del Bio-Estecolero. A lo mejor si la amplían la gente querrá comprar más en Marín, atraídos por el buen olor y la calidad de sus Bio-desechos.",2,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
Diario de Pontevedra,2024-07-12T12:06:00,https://www.diariodepontevedra.es/articulo/o-morrazo/juan-sebastian-elcano-marin/202407121206461312298.html,2,Lágrimas de alegría a la llegada del Juan Sebastián Elcano a Marín,Ferrado,,13/07/24 12:53 12:53,"A ver señor Anakrosis ( moi galego non vai ser co ese nome), sonaban pasodobles porque esa música es típica española y encontrándose el navío en puerto español, con españoles a bordo y españoles esperándolos y vitoreándolos en el muelle, es lo que procede....y no hay más.",0,0,Pepster Anakrosis,,12/07/24 22:05 22:05,"Sic ""No faltaron pasodobles típicos del folclore español interpretados por las bandas de música del centro castrense "" a ver si confundieron Marín con la castellana ...",0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
Diario de Pontevedra,2024-06-30T11:05:00,https://www.diariodepontevedra.es/articulo/o-morrazo/moteros-celebran-gran-fiesta-marin/202406301105041310685.html,1,Los moteros celebran su gran fiesta en Marín,Melevantoalasseis,,30/06/24 19:42 19:42,Afición de catetos aficionados a molestar pasando por las zonas urbanas pasados de revoluciones y con los escapes alterados.,2,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
La Voz de Galicia,2025-05-19T00:00:00,https://www.lavozdegalicia.es/noticia/coruna/coruna/2025/05/19/ultima-vez-buque-mexicano-cuauhtemoc-accidentado-nueva-york-estuvo-coruna/00031747655182924330709.htm,1,"Así fue la última vez que el buque mexicano Cuauhtémoc, accidentado en Nueva York, estuvo en A Coruña",AntonioDeOquendo,CAMBRE,hace 10 días.,AntonioDeOquendo Mejicanos.... Ahora que nos echen la culpa también a los españoles de su ineptitud navegando.,0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
La Voz de Galicia,2025-05-17T00:00:00,https://www.lavozdegalicia.es/noticia/pontevedra/2025/05/17/span-langgl-gran-festa-da-linguaspan/0003_202505P17C10991.htm,1,A gran festa da lingua,crre138051360,,hace 11 días.,ahi Marín representando!,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,2025-06-01 20:04:45,n_comments>=1
