source,title,link,date,n_visualizations,summary,year_month,year
Carriola de Marín,"Fallece Constante Muradas Ramos, histórico exconcejal socialista tras acelerarse su estado de salud en los últimos días. - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8806,2025-03-29,4287,"Marín se despierta hoy con una mala noticia como es la del fallecimiento deConstante Muradas Ramos, exconcejal socialista del concello de Marín y uno de los principales miembros del PSOE tras la recuperación de la democracia habiendo formado parte de numerosas corporaciones municipales y siendo uno de  los principales valores de su partido en el ayuntamiento marinense.",2025-03,2025
Carriola de Marín,Aprobada por unanimidad la moción del PSOE solicitando vivienda pública en los solares del INVIED en Marín - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8715,2025-03-15,3076,"Llevamos años hablando de la parálisis urbanística y de construcción de la vivienda que atraviesa Marín, y ya no digamos de la vivienda pública. La moción presentada por el PSOE, y apoyada por el resto de partidos, busca obtener la cesión de los solares que actualmente tiene el Estado (INVIED) para la construcción de vivienda pública.",2025-03,2025
Carriola de Marín,Bandazos de María Ramallo con su piscina de agua salada - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8441,2025-02-01,2047,,2025-02,2025
Carriola de Marín,El Gobierno del PP aprueba los Presupuestos municipales pese a la oposición y los pitos de los policías Locales presentes - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8403,2025-01-25,1913,"El Ayuntamiento de Marín cuenta ya con los Presupuestos Municipales de este año aprobados en el Pleno celebrado en la mañana de ayer en cuyo transcurso, el Gobierno Local desestimó las posturas de PSOE y BNG en una sesión donde sonaron pitos de protesta por parte de un grupo de la Policía Local presente",2025-01,2025
Carriola de Marín,Eliminación sistemática del arbolado y zonas verdes urbanas - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8696,2025-03-12,1822,(*) Manuel Pazos Lamoso es el portavoz del grupo municipal del PSOE,2025-03,2025
Carriola de Marín,Incomprensible canon de 13.000 euros anuales que el Concello pagará al Puerto por la dársena de embarcaciones - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8526,2025-02-15,1682,Lo de la dársena de embarcaciones es un verdadero despropósito. Nos acabamos de enterar todos los marinenses que la concesión portuaria de la dársena al Concello de Marín para uso náutico-deportivo tendrá un coste para las arcas municipales de más de 13.000€ anuales durante cada uno de los 50 años que durará la concesión. Un verdadero sinsentido que la Sra. Ramallo ocultó hasta ahora y que supondrá un coste superior a los 650.000€.”,2025-02,2025
Carriola de Marín,El Gobierno Local informa sobre el avance de las obras de mejora que se están realizando en el casco urbano - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8724,2025-03-16,1657,El casco urbano de Marín está sufriendo una considerable reforma no siempre comprendida por una parte de los ciudadanos por diversos motivos algunos de los cuales arrecian sus crìticas al PP gobernante y en concreto a su cabeza visible la alcaldesa María Ramallo,2025-03,2025
Carriola de Marín,CARRIOLA DE OPINIÓN: El tren de Nadal - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8768,2025-03-23,1551,(*) María Ramallo VázquezPresidenta del PP de Marín,2025-03,2025
Carriola de Marín,O BNG detecta e denuncia erros nas bases de licitación do local hostaleiro do Paseo Alcalde Blanco Solla - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8400,2025-01-24,1512,"Afalta do Prego de Prescricións Técnicas, irregularidades no seguro de responsabilidade civil e outros incumprimentos poden comprometer a legalidade e a equidade do proceso,polo que instamosao Concello de Marín a revisar a documentación",2025-01,2025
Carriola de Marín,"IN MEMORIAM: Juan, te echaremos de menos - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8811,2025-03-29,1485,(*) Fran Veiga. Exalcalde socialista/Manuel Pazos. Portavoz municipal del PSOE,2025-03,2025
Carriola de Marín,Los servicios técnicos municipales avalan la íntegra legalidad del proceso de alquiler del local del Paseo Marítimo - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8421,2025-01-28,1286,Hace unos días el BNG denunció públicamente en los medios informativos lo que a juicio de su grupo eran defectos del Pliego de Condiciones de arrendamiento del local ubicado en el extremo del Paseo Alcalde Blanco que se encuentra en proceso de licitación y cuya resolución se hará pública el próximo jueves. El Gobierno Local nos remite un comunicado con contenido diametralmente opuesto a dicha denuncia,2025-01,2025
Carriola de Marín,CARRIOLA DA OPINIÓN: Aparcamentos - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8491,2025-02-09,1278,"Quen fixo os aparcamentos disuasorios foi o PP e, quen conta as plazas,...o PSOE",2025-02,2025
Carriola de Marín,CARRIOLA DA OPINIÓN: Respondendo ás críticas do BNG - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9118,2025-05-12,1249,"Datos, nomes e evidencias de que a nosa lingua foi a protagonista da Vila do Libro",2025-05,2025
Carriola de Marín,María Ramallo visita la Piscina y anuncia la próxima instalación del nuevo sistema de aire acondicionado en la sala de fitness - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8663,2025-03-07,1241,Un nuevo sistema de aire acondicionado será instalado próximamente en la sala de fitness de la Piscina Municipal según anunció ayer la alcaldesa María Ramallo en una visita que realizó a la instalación durante la cual aseguró que la inversión necesaria será de unos 100.000 euros,2025-03,2025
Carriola de Marín,Marín presentará a la próxima convocatoria de fondos europeos la revitalización de los barrios y barriadas - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8602,2025-02-27,1103,"Laalcaldesa de Marín, María Ramallo,presentó ayer el “Plan de Acción Integral (PAI)” que el concello llevará este año a la convocatoria de fondos FEDER, una estrategia de desarrollo integral denominada “Marín 360” que cuenta con una inversión de 15 millones de euros de los cuales nueve podrían proceder al los mencionados fondos europeos",2025-02,2025
Carriola de Marín,Las obras de la mejora ambiental de la dársena portuaria se encuentran ya en la recta final - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8974,2025-04-25,1051,"La alcaldesa María Ramallo en compañía del concejal de Urbanismo, Manuel Santos visitaron ayer las obras de la mejora ambiental de la dársena conocida como“Praia do  cementerio”, entree otras designaciones, compartiendo la visita con la empresa y la dirección de la obra  para comprobar el estado de los trabajos a punto de finalizar",2025-04,2025
Carriola de Marín,"O BNG propón regular o uso da pirotecnia “para garantir a saúde, o benestar e a convivencia” - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8700,2025-03-13,1046,"Lucía Santos defende no Pleno de hoxe unha ordenanza municipal que limite o uso da pirotecnia, impulse alternativas máis silenciosas e reduza os impactos negativos sobre a veciñanza e o medio ambiente.",2025-03,2025
Carriola de Marín,Néstor Rego volverá o luns a Marín invitado polo BNG local a un encontro no entorno da dársena pesqueira - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8716,2025-03-15,1022,"O deputado do Bloque Nacionalista Galego (BNG) no Congreso, Néstor Rego, visitará Marín o próximo luns, 17 de marzo ás 13:00 horas, nun acto simbólico que terá lugar xunto á dársena do paseo Alcalde Blanco.",2025-03,2025
Carriola de Marín,"El PSOE se muestra ""alarmado"" al considerar a Marín como el municipio que más población perdió en la provincia - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8381,2025-01-18,967,“Lo que está sucediendo en Marín es terrible” ha declarado Manuel Pazos Lamoso portavoz del PSOE en Marín quien indica que“Este año hemos vuelto a perder población y ya somos el ayuntamiento de toda la provincia que mayor población ha perdido en la última década”,2025-01,2025
