source,title,link,date,n_visualizations,summary,year_month,year
Carriola de Marín,“Memoria Histórica” celebró el emotivo acto de homenaje a los marinenses fusilados el 31 de diciembre del 36 - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8303,2025-12-02,1103,"Los nombres deAlbino Agraso Santamaría, Antonio Blanco Solla, Amando Iglesias Pérez, Demetrio Lorenzo Ordóñez, Santiago Ramos Ramos, Bernardino de la Torre Fernández, resonaron de nuevo en el paseo marítimo donde se encuentra el sencillo monolito en su recuerdo en un acto en el que intervino el escritor e investigador Xosé Álvarez Castro junto con  la presidenta del colectivo marinense Queta Molas y la niña Uxía Lubián Pardellas que hizo lectura de un texto relacionado con el contenido que este año se dio a la jornada.",2025-12,2025
Carriola de Marín,municipal Santiago Pazos “Santí” con motivo de su jubilación tras 43 años de servicio - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9168,2025-06-01,1969,"Santiago Pazos es uno de esos funcionarios municipales “de toda la vida”, no en vano entró en el servicio del concello en el año 1982 y fue un verdadero comodín para sus superiores que lo movieron de puesto a cuál más diferente a lo largo de su vida profesional.",2025-06,2025
Carriola de Marín,Se pone en marcha del cronograma de trabajo para la redacción del “Plan Especial de Protección del Centro Histórico” - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9170,2025-06-01,353,"El “Plan Especial de Protección del Centro Histórico” específico para la zona antigua y Cantodarea será elaborado a partir de ahora y durante los próximos cuatro años y para iniciar esos trabajos marcando la línea a seguir, el concejal de urbanismo Manuel Santos , junto con la arquitecta municipal y los responsables de la empresa adjudicataria del ARI han mantenido una primera reunión al respecto para diseñar el cronograma de trabajo a desarrollar..",2025-06,2025
Carriola de Marín,El próximo sábado en el Parque Eguren se abrirá por ultima vez este curso el “Mercado 3R” del ANPA de O Sequelo - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9172,2025-06-01,281,La “ANPA Aidón” anuncia una nueva jornada del “Mercado 3r” que con tanto éxito se viene realizando en el Parque Eguren lo que anima al alumnado del CEIP O Sequelo y otros vecinos especialmente invitados a mostrar sus artículos que buscan cambiar de mano en un espíritu elogiable de reciclaje.,2025-06,2025
Carriola de Marín,"Fallece Doña CLAUDIA PARADA RODRÍGUEZ (Vda. De Crescencio Santiago), a los 96 años de edad - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9176,2025-06-01,241,"La funerariaLA FEcomunica el fallecimiento hoy, día01de junio, de doñaCLAUDIA PARADA RODRÍGUEZcuyos restos mortales permanecerán en el Tanatorio SAN MARCOS, de Marín, sala número1hasta el momento de su traslado,MAÑANA LUNESdía2de junio a lasCinco y mediade la tardepara su incineración en la intimidad familiar.",2025-06,2025
Carriola de Marín,"Ralf Glasz, pintor alemán afincado en Arousa expone sus obras en la sala del Ateneo santa Cecilia hasta el día 15 - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9173,2025-06-01,121,"El Ateneo Santa Cecilia inauguró la exposición de cuadros del pintorRalf Glasz,muestra que fue inaugurada el pasado viernes con numerosa asistencia de personas que elogiaron los cuadros de este artista autodidacta ganador de numerosos premios por sus obras que han estado presentes en muchas salas de España y Europa.",2025-06,2025
Carriola de Marín,RINCÓN DE LA PEDAGOGÍA(*): Obediencia infantil - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9167,2025-06-01,111,¿Cómo podemos contribuir a la obediencia y la autorregulación?,2025-06,2025
Carriola de Marín,A Plataforma de Seixo pola defensa do Centro de Saúde participa nas máis de 12.000 firmas polo aparcamento gratuito de Montecelo - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9171,2025-06-01,107,"A Plataforma pola Defensa do Centro de Saúde de Seixo e Marín, canda o resto das Plataforma da Área Sanitaria (Salnés, Sanxenxo, Cerdedo e Pontevedra) rexistraron onte no edificio da Xunta en Campolongo12.034sinaturas para que non se privatice o aparcamento do Hospital Gran Montecelo, se aumenten as prazas de aparcamento e as liñas de transporte que conecten os concellos da área co hospital.",2025-06,2025
Carriola de Marín,LA QUEJA DE HOY: Esperando una desgracia - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9175,2025-06-02,69,,2025-06,2025
Carriola de Marín,Pinarium sigue progresando en la promoción del deporte entre sus jóvenes atletas que destacaron en Barbadás hace unos días - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9169,2025-06-01,66,La pasada semana se disputó en Barbadás (Ourense) el Campeonato Gallego de Trail y a donde nuestras Escuelas deClub Deportivo Pinariumserían de la partida en una disciplina en la que no están muy acostumbrados a participar por disputarse en montaña y no en una pista de Atletismo.,2025-06,2025
