source,title,link,date,n_comments,comment_1_author,comment_1_date,comment_1_text,comment_2_author,comment_2_date,comment_2_text,comment_3_author,comment_3_date,comment_3_text,comment_4_author,comment_4_date,comment_4_text,comment_5_author,comment_5_date,comment_5_text,comment_6_author,comment_6_date,comment_6_text,comment_7_author,comment_7_date,comment_7_text,comment_8_author,comment_8_date,comment_8_text,comment_9_author,comment_9_date,comment_9_text,comment_10_author,comment_10_date,comment_10_text,comment_11_author,comment_11_date,comment_11_text,comment_12_author,comment_12_date,comment_12_text,comment_13_author,comment_13_date,comment_13_text,comment_14_author,comment_14_date,comment_14_text,comment_15_author,comment_15_date,comment_15_text
Diario Marín,BNG propone la cesión de una mínima parte de las 105 hectáreas ocupadas por el Puerto y la Escuela Naval a Marín,https://diariomarin.com/marin/bng-propone-la-cesion-de-una-minima-parte-de-las-105-hectareas-ocupadas-por-el-puerto-y-la-escuela-naval-a-marin/,2025-05-30T07:01:02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diario Marín,LODE: «Galicia tiene talento y desde aquí pueden hacerse cosas grandes»,https://diariomarin.com/cultura/lode-galicia-tiene-talento/,2025-05-30T06:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diario Marín,El lince Ibérico: De la extinción a los casi 2.400 ejemplares,https://diariomarin.com/sostenibilidad/el-lince-iberico-de-la-extincion-a-los-casi-2-400-ejemplares/,2025-05-30T05:55:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diario Marín,GALP aproba a proposta definitiva da convocatoria de axudas 2025,https://diariomarin.com/economia-y-empresas/galp-aproba-a-proposta-definitiva-da-convocatoria-de-axudas-2025/,2025-05-30T05:45:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diario Marín,Mañana Jornada de Puertas Abiertas en la Escuela Naval de Marín por el Día de las Fuerzas Armadas,https://diariomarin.com/marin/manana-jornada-de-puertas-abiertas-en-la-escuela-naval-de-marin-por-el-dia-de-las-fuerzas-armadas/,2025-05-30T05:40:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diario Marín,Prácticas en el Centro de Día de la Casa del Mar,https://diariomarin.com/economia-y-empresas/22395/,2025-05-30T08:06:53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diario Marín,"Verkami, el modelo de financiación que triunfa en Marín para proyectos culturales",https://diariomarin.com/economia-y-empresas/verkami-el-modelo-de-financiacion-que-triunfa-en-marin-para-proyectos-culturales/,2025-05-26T06:11:15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diario Marín,"La Asociación Botón de Ancla presenta hoy viernes la ‘V Ruta Marín, Pincho a Pincho’",https://diariomarin.com/marin/la-asociacion-boton-de-ancla-presenta-hoy-viernes-la-v-ruta-marin-pincho-a-pincho/,2025-05-29T05:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diario Marín,Coral y Rap este fin de semana en Marín,https://diariomarin.com/cultura/coral-y-rap-este-fin-de-semana-en-marin/,2025-05-30T09:26:17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diario Marín,Yayoi Kusama y Frida Kahlo en el Museo Torres hasta el 15 de junio,https://diariomarin.com/cultura/yayoi-kusama-y-frida-kahlo-en-el-museo-torres-hasta-el-15-de-junio/,2025-05-30T08:47:57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
