source,title,link,date,n_comments,comment_1_author,comment_1_location,comment_1_date,comment_1_text,comment_1_likes,comment_1_dislikes,comment_2_author,comment_2_location,comment_2_date,comment_2_text,comment_2_likes,comment_2_dislikes,comment_3_author,comment_3_location,comment_3_date,comment_3_text,comment_3_likes,comment_3_dislikes,comment_4_author,comment_4_location,comment_4_date,comment_4_text,comment_4_likes,comment_4_dislikes,comment_5_author,comment_5_location,comment_5_date,comment_5_text,comment_5_likes,comment_5_dislikes,comment_6_author,comment_6_location,comment_6_date,comment_6_text,comment_6_likes,comment_6_dislikes,comment_7_author,comment_7_location,comment_7_date,comment_7_text,comment_7_likes,comment_7_dislikes,comment_8_author,comment_8_location,comment_8_date,comment_8_text,comment_8_likes,comment_8_dislikes,comment_9_author,comment_9_location,comment_9_date,comment_9_text,comment_9_likes,comment_9_dislikes,comment_10_author,comment_10_location,comment_10_date,comment_10_text,comment_10_likes,comment_10_dislikes,comment_11_author,comment_11_location,comment_11_date,comment_11_text,comment_11_likes,comment_11_dislikes,comment_12_author,comment_12_location,comment_12_date,comment_12_text,comment_12_likes,comment_12_dislikes,comment_13_author,comment_13_location,comment_13_date,comment_13_text,comment_13_likes,comment_13_dislikes,comment_14_author,comment_14_location,comment_14_date,comment_14_text,comment_14_likes,comment_14_dislikes,comment_15_author,comment_15_location,comment_15_date,comment_15_text,comment_15_likes,comment_15_dislikes
Faro de Vigo,Pontevedra - Actualidad y últimas noticias de Pontevedra - Faro de Vigo,https://www.farodevigo.es/pontevedra/,2025-06-07T06:01:00+02:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Faro de Vigo,PESCA | Tripulaciones redoblan su pugna por la exención fiscal: «Reclamamos justicia»,https://www.farodevigo.es/mar/2025/06/06/tripulaciones-redoblan-pugna-exencion-fiscal-tripulaciones-redoblan-su-pugna-por-la-exencion-fiscal-reclamamos-justicia-118282863.html,2025-06-06T06:10:00+02:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Faro de Vigo,El CEIP de A Laxe de Marín celebra el Día Mundial del Medio Ambiente,https://www.farodevigo.es/pontevedra/2025/06/06/ceip-laxe-marin-celebra-dia-118294286.html,2025-06-06T06:01:00+02:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Faro de Vigo,Felipe VI «regresa» a la Escuela Naval,https://www.farodevigo.es/pontevedra/2025/06/06/felipe-vi-regresa-escuela-naval-118286757.html,2025-06-06T06:00:00+02:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Faro de Vigo,"La reforma de la PO-308, lista para el verano tras dos años y medio de obra",https://www.farodevigo.es/pontevedra/2025/06/05/reforma-po-308-lista-verano-118237349.html,2025-06-05T06:10:00+02:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Faro de Vigo,SENTENCIA MAR | La propiedad de la flota gallega traba las devoluciones fiscales a marineros,https://www.farodevigo.es/mar/2025/06/05/la-propiedad-de-la-flota-gallega-traba-las-devoluciones-fiscales-a-marineros-118238731.html,2025-06-05T06:10:00+02:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Faro de Vigo,Más de 40 nuevos ciberexpertos entre el alumnado de Marín,https://www.farodevigo.es/pontevedra/2025/06/05/40-nuevos-ciberexpertos-alumnado-marin-118244518.html,2025-06-05T06:01:00+02:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Faro de Vigo,Sin título,https://www.farodevigo.es/opinion/,2025-06-05T06:01:00+02:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Faro de Vigo,A Carreira Carmiña volverá a percorrer o litoral de Marín con cerca de 400 inscritos,https://www.farodevigo.es/pontevedra/2025/06/05/carreira-carmina-volvera-percorrer-o-118244461.html,2025-06-05T06:01:00+02:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Faro de Vigo,"Una empresa de origen francés, elegida para reformar el cuartel Méndez Núñez de la Escuela Naval",https://www.farodevigo.es/pontevedra/2025/06/05/empresa-origen-frances-elegida-reformar-118237562.html,2025-06-05T06:00:00+02:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
