source,title,link,date,n_comments,comment_1_author,comment_1_date,comment_1_text,comment_2_author,comment_2_date,comment_2_text,comment_3_author,comment_3_date,comment_3_text,comment_4_author,comment_4_date,comment_4_text,comment_5_author,comment_5_date,comment_5_text,comment_6_author,comment_6_date,comment_6_text,comment_7_author,comment_7_date,comment_7_text,comment_8_author,comment_8_date,comment_8_text,comment_9_author,comment_9_date,comment_9_text,comment_10_author,comment_10_date,comment_10_text,comment_11_author,comment_11_date,comment_11_text,comment_12_author,comment_12_date,comment_12_text,comment_13_author,comment_13_date,comment_13_text,comment_14_author,comment_14_date,comment_14_text,comment_15_author,comment_15_date,comment_15_text
PSOE Marín WordPress,EL SERVICIO DE INTERVENCIÓN ADVIERTE DEL ESCASO RIGOR Y CONTROL EN LA EJECUCIÓN DE OBRAS MUNICIPALES_10.05.2025,https://psdegmarin.wordpress.com/2025/05/16/el-servicio-de-intervencion-advierte-del-escaso-rigor-y-control-en-la-ejecucion-de-obras-municipales_10-05-2025/,2025-05-16T14:30:47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE DE MARÍN RECLAMARÁ LA APERTURA DE UN NUEVO VIAL ENTRE EZEQUIEL MASSONI Y SAN PEDRO 23.04.2025,https://psdegmarin.wordpress.com/2025/05/04/el-psoe-de-marin-reclamara-la-apertura-de-un-nuevo-vial-entre-ezequiel-massoni-y-san-pedro-23-04-2025/,2025-05-04T13:46:25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,"CONTINÚA EL DESPILFARRO: TRAS ELIMINAR EL ARBOLADO, AHORA 150.000€ PARA CREAR ZONAS DE SOMBRA EN CALLES RECIÉN REFORMADAS_12.04.2025",https://psdegmarin.wordpress.com/2025/04/13/continua-el-despilfarro-tras-eliminar-el-arbolado-ahora-150-000e-para-crear-zonas-de-sombra-en-calles-recien-reformadas_12-04-2025/,2025-04-13T10:36:31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,JUAN MURADAS. IN MEMORIAM_29.03.2024,https://psdegmarin.wordpress.com/2025/03/29/juan-muradas-in-memoriam_29-03-2024/,2025-03-29T17:14:04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,"Estimada María, (sobre el tren de Navidad 24.03.2025)",https://psdegmarin.wordpress.com/2025/03/24/estimada-maria-sobre-el-tren-de-navidad-24-03-2025/,2025-03-24T14:09:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE PREOCUPADO POR LAS INTENCIONES DEL GOBIERNO LOCAL EN LA PRADERA DEL RÍO LAMEIRA_22.03.2025,https://psdegmarin.wordpress.com/2025/03/23/el-psoe-preocupado-por-las-intenciones-del-gobierno-local-en-la-pradera-del-rio-lameira_22-03-2025/,2025-03-23T11:59:43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE DE MARÍN DENUNCIA QUE EL TREN CHU-CHÚ ESTUVO CIRCULANDO EN NAVIDAD SIN ITV_21.03.2025,https://psdegmarin.wordpress.com/2025/03/22/el-psoe-de-marin-denuncia-que-el-tren-chu-chu-estuvo-circulando-en-navidad-sin-itv_21-03-2025/,2025-03-22T17:53:20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,APROBADA LA MOCIÓN DEL PSOE QUE SOLICITA LA CONSTRUCCIÓN DE VIVIENDA PÚBLICA EN LOS SOLARES DEL MINISTERIO DE DEFENSA (INVIED) EN MARÍN_14.03.2025,https://psdegmarin.wordpress.com/2025/03/15/aprobada-la-mocion-del-psoe-que-solicita-la-construccion-de-vivienda-publica-en-los-solares-del-ministerio-de-defensa-invied-en-marin_14-03-2025/,2025-03-15T17:51:36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE CRITICA LA ELIMINACIÓN SISTEMÁTICA DE ARBOLADO Y ZONAS VERDES DE MARÍA RAMALLO_12/03/2025,https://psdegmarin.wordpress.com/2025/03/15/el-psoe-critica-la-eliminacion-sistematica-de-arbolado-y-zonas-verdes-de-maria-ramallo_01-02-2025/,2025-03-15T17:40:38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE DESMIENTE QUE MANUEL PAZOS VOTASE A FAVOR DE LA CONCESIÓN DE LA DARSENA PORTUARIA COMO AFIRMA EL BNG_19.02.2025,https://psdegmarin.wordpress.com/2025/02/23/el-psoe-desmiente-que-manuel-pazos-votase-a-favor-de-la-concesion-de-la-darsena-portuaria-como-afirma-el-bng_19-02-2025/,2025-02-23T14:44:25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,PISCINA CON MAR DE FONDO_23.02.2025,https://psdegmarin.wordpress.com/2025/02/23/piscina-con-mar-de-fondo_23-02-2025/,2025-02-23T13:48:54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE CRITICA EL CANON DE 13.000€ ANUALES QUE DEBERÁ PAGAR EL CONCELLO POR LA DÁRSENA DE EMBARCACIONES_14.02.2025,https://psdegmarin.wordpress.com/2025/02/16/el-psoe-critica-el-canon-de-13-000eanuales-que-debera-pagar-el-concello-por-la-darsena-de-embarcaciones_14-02-2025/,2025-02-16T10:24:25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,O PSOE ACUSA AO GOBERNO LOCAL DE INFLAR O NÚMERO DE PRAZA DE APARCAMENTO NOS DISUASORIOS DE MARÍN_01.02.2025,https://psdegmarin.wordpress.com/2025/02/03/o-psoe-acusa-ao-goberno-local-de-inflar-o-numero-de-praza-de-aparcamento-nos-disuasorios-de-marin_01-02-2025/,2025-02-03T18:03:12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE CRITICA LOS BANDAZOS DE MARIA RAMALLO CON SU PISCINA DE AGUA SALADA 31.01.2025,https://psdegmarin.wordpress.com/2025/02/01/el-psoe-critica-los-bandazos-de-maria-ramallo-con-su-piscina-de-agua-salada-31-01-2025/,2025-02-01T08:39:25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE CRITICA LA DEJADEZ DE MARÍA RAMALLO EN LA CONSECUCIÓN DE SUELO EMPRESARIAL_24.01.2025,https://psdegmarin.wordpress.com/2025/01/26/el-psoe-critica-la-dejadez-de-maria-ramallo-en-la-consecucion-de-suelo-empresarial_24-01-2025/,2025-01-26T13:44:10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE ALARMADO: MARÍN ES EL MUNICIPIO DE TODA LA PROVINCIA QUE MÁS POBLACIÓN HA PERDIDO EN LA ÚLTIMA DÉCADA_18.01.2025,https://psdegmarin.wordpress.com/2025/01/26/el-psoe-alarmado-marin-es-el-municipio-de-toda-la-provincia-que-mas-poblacion-ha-perdido-en-la-ultima-decada_18-01-2025/,2025-01-26T13:37:18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,O PSOE LAMENTA OS 4 MESES DE RETRASO NA OBRA DO PAVILLÓN DA CAÑOTA E ADVIRTE DE POSIBLES DEFECTOS NA OBRA 09.01.2025,https://psdegmarin.wordpress.com/2025/01/14/o-psoe-lamenta-os-4-meses-de-retraso-na-obra-do-pavillon-da-canota-e-advirte-de-posibles-defectos-na-obra-09-01-2025/,2025-01-14T06:04:28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,UNHA DAS PEORES FESTAS DE NADAL QUE SE RECORDAN EN MARÍN,https://psdegmarin.wordpress.com/2025/01/14/unha-das-peores-festas-de-nadal-que-se-recordan-en-marin/,2025-01-14T05:49:53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,O PSOE DE MARÍN CONSIDERA QUE 2024 FOI y UN MAL ANO PARA MARÍN_30.12.2024,https://psdegmarin.wordpress.com/2024/12/30/o-psoe-de-marin-considera-que-2024-foi-y-un-mal-ano-para-marin_30-12-2024/,2024-12-30T11:26:21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EN 2024 PECHARON CINCO VECES MÁIS COMERCIOS DOS QUE SE ABRIRON EN MARÍN 21.12.2024,https://psdegmarin.wordpress.com/2024/12/26/en-2024-pecharon-cinco-veces-mais-comercios-dos-que-se-abriron-en-marin-21-12-2024/,2024-12-26T09:04:44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE DE MARÍN RECHAZA LOS PRESUPUESTOS MUNICIPALES Y ACUSA AL GOBIERNO LOCAL DE FALTA DE AMBICIÓN 13.12.2024,https://psdegmarin.wordpress.com/2024/12/14/el-psoe-de-marin-rechaza-los-presupuestos-municipales-y-acusa-al-gobierno-local-de-falta-de-ambicion-13-12-2024/,2024-12-14T14:41:24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE DE MARÍN RECLAMA AL GOBIERNO MUNICIPAL UNA SOLUCIÓN A LOS PROBLEMAS DE INUNDACIÓN DE GARAJES EN JAIME JANER 30/11/2024,https://psdegmarin.wordpress.com/2024/12/02/el-psoe-de-marin-reclama-al-gobierno-municipal-una-solucion-a-los-problemas-de-inundacion-de-garajes-en-jaime-janer-30-11-2024/,2024-12-02T05:56:27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,MARÍA RAMALLO Y LA SITUACIÓN ECONÓMICA DE MARÍN: ¿DESCONOCIMIENTO O MALA FE ?,https://psdegmarin.wordpress.com/2024/12/02/maria-ramallo-y-la-situacion-economica-de-marin-desconocimiento-o-mala-fe/,2024-12-02T05:52:30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE ADVIERTE DE LOS ENORMES RETRASOS EN LAS OBRAS QUE SE EJECUTAN EN MARÍN 20/11/2024,https://psdegmarin.wordpress.com/2024/11/30/el-psoe-advierte-de-los-enormes-retrasos-en-las-obras-que-se-ejecutan-en-marin-20-11-2024/,2024-11-30T09:13:56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE ALERTA QUE MARÍA RAMALLO HA ACABADO CON LA PRÁCTICA TOTALIDAD DE LOS AHORROS MUNICIPALES 26/10/2024,https://psdegmarin.wordpress.com/2024/10/27/el-psoe-alerta-que-maria-ramallo-ha-acabado-con-la-practica-totalidad-de-los-ahorros-municipales-26-10-2024/,2024-10-27T15:16:36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
