source,title,link,date,n_visualizations,summary
Carriola de Marín,Fin de semana de éxito para el Club de Rítmica Agarimo” que participó en dos torneos en A Coruña - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9177,2025-06-02T00:00:00,53,Las gimnastas del Club de Rítmica Agarimo se desplazaron por partida doble este pasado fin de semana con participación en sendos torneos celebrados en A Coruña donde destacaron con sus actuaciones subiendo en ambos casos al podio
Carriola de Marín,"Fallece Doña CLAUDIA PARADA RODRÍGUEZ (Vda. De Crescencio Santiago), a los 96 años de edad - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9176,2025-06-01T00:00:00,226,"La funerariaLA FEcomunica el fallecimiento hoy, día01de junio, de doñaCLAUDIA PARADA RODRÍGUEZcuyos restos mortales permanecerán en el Tanatorio SAN MARCOS, de Marín, sala número1hasta el momento de su traslado,MAÑANA LUNESdía2de junio a lasCinco y mediade la tardepara su incineración en la intimidad familiar."
Carriola de Marín,LA QUEJA DE HOY: Esperando una desgracia - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9175,2025-06-02T00:00:00,53,
Carriola de Marín,"“Vagalume” y “Papanatas” vencedores, tras dos etapas,  en la “Aguete Cruising Sail” de cruceros - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9174,2025-06-02T00:00:00,14,"El Vagalume lo hizo por partida doble en Orc y A Dos, mientras que Papanatas lo fue en Veteranoscon poco viento en esta última prueba celebrada el sábado"
Carriola de Marín,"Ralf Glasz, pintor alemán afincado en Arousa expone sus obras en la sala del Ateneo santa Cecilia hasta el día 15 - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9173,2025-06-01T00:00:00,118,"El Ateneo Santa Cecilia inauguró la exposición de cuadros del pintorRalf Glasz,muestra que fue inaugurada el pasado viernes con numerosa asistencia de personas que elogiaron los cuadros de este artista autodidacta ganador de numerosos premios por sus obras que han estado presentes en muchas salas de España y Europa."
Carriola de Marín,El próximo sábado en el Parque Eguren se abrirá por ultima vez este curso el “Mercado 3R” del ANPA de O Sequelo - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9172,2025-06-01T00:00:00,273,La “ANPA Aidón” anuncia una nueva jornada del “Mercado 3r” que con tanto éxito se viene realizando en el Parque Eguren lo que anima al alumnado del CEIP O Sequelo y otros vecinos especialmente invitados a mostrar sus artículos que buscan cambiar de mano en un espíritu elogiable de reciclaje.
Carriola de Marín,A Plataforma de Seixo pola defensa do Centro de Saúde participa nas máis de 12.000 firmas polo aparcamento gratuito de Montecelo - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9171,2025-06-01T00:00:00,104,"A Plataforma pola Defensa do Centro de Saúde de Seixo e Marín, canda o resto das Plataforma da Área Sanitaria (Salnés, Sanxenxo, Cerdedo e Pontevedra) rexistraron onte no edificio da Xunta en Campolongo12.034sinaturas para que non se privatice o aparcamento do Hospital Gran Montecelo, se aumenten as prazas de aparcamento e as liñas de transporte que conecten os concellos da área co hospital."
Carriola de Marín,Se pone en marcha del cronograma de trabajo para la redacción del “Plan Especial de Protección del Centro Histórico” - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9170,2025-06-01T00:00:00,347,"El “Plan Especial de Protección del Centro Histórico” específico para la zona antigua y Cantodarea será elaborado a partir de ahora y durante los próximos cuatro años y para iniciar esos trabajos marcando la línea a seguir, el concejal de urbanismo Manuel Santos , junto con la arquitecta municipal y los responsables de la empresa adjudicataria del ARI han mantenido una primera reunión al respecto para diseñar el cronograma de trabajo a desarrollar.."
Carriola de Marín,Pinarium sigue progresando en la promoción del deporte entre sus jóvenes atletas que destacaron en Barbadás hace unos días - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9169,2025-06-01T00:00:00,62,La pasada semana se disputó en Barbadás (Ourense) el Campeonato Gallego de Trail y a donde nuestras Escuelas deClub Deportivo Pinariumserían de la partida en una disciplina en la que no están muy acostumbrados a participar por disputarse en montaña y no en una pista de Atletismo.
Carriola de Marín,municipal Santiago Pazos “Santí” con motivo de su jubilación tras 43 años de servicio - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9168,2025-06-01T00:00:00,1955,"Santiago Pazos es uno de esos funcionarios municipales “de toda la vida”, no en vano entró en el servicio del concello en el año 1982 y fue un verdadero comodín para sus superiores que lo movieron de puesto a cuál más diferente a lo largo de su vida profesional."
Carriola de Marín,RINCÓN DE LA PEDAGOGÍA(*): Obediencia infantil - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9167,2025-06-01T00:00:00,104,¿Cómo podemos contribuir a la obediencia y la autorregulación?
Carriola de Marín,"La “V Ruta del Marín Pincho a Pincho”, presentada ayer, ofrecerá tapas de concurso en doce establecimientos - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9166,2025-05-31T00:00:00,859,"La alameda Rosalía de Castro acogió a mediodía de ayer la presentación de la quinta edición del “Marín Pincho a Pincho”  evento en el que participarán doce establecimientos ofreciendo, por dos euros la especialidad de concurso, que será valorada por un experto jurado gastronómico"
Carriola de Marín,Entrega de diplomas del curso “Iniciación a la Informática” organizado por “Ensinamos” con el patrocinio del P.S. ENCE - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9165,2025-05-31T00:00:00,273,"La asociación“Ensinamos”celebró el curso “Iniciación a la Informática” bajo el patrocinio del“Plan Social ENCE”como primera de las actividades incluidas en el proyecto “ENCEENSINA” y, en la arde de ayer se procedió a la entrega de los diplomas a las personas que asistieron y aprovecharon el curso, momento que recoge la imagen adjunta."
Carriola de Marín,CARRIOLA DA OPINIÓN:  Sobre a marcha contra ENCE - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9164,2025-05-31T00:00:00,291,A Asociación Cultural Almuinha chama a participar na marcha do 1 de xuño contra ENCE e ALTRI: pola defensa da terra e da vida
Carriola de Marín,A Campaña “O Escaparate Estrela” do comercio de Marín mereceu un recoñecemento especial da Xunta de Galicia - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9163,2025-05-31T00:00:00,67,"O Centro Comercial Aberto Estrela de Marín, ven de coñecer que foi un dos cinco centros comerciais abertos de Galicia e o único de toda a provincia de Pontevedra, que contará cunha achega económica para levar a cabo unha campaña comercial, que se englobará dentro do lema“O teu comercio local é extraordinario”"
Carriola de Marín,El Antiguo Templo acoge esta tarde un gran concierto coral con “Crecente de Voces Graves” y “Thalassa” - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9162,2025-05-31T00:00:00,286,"El coro de cámara Thalasa junto con el “Coro Crecente de Voces Graves”, de Conxo, comparten hoy un concierto en el Antiguo Templo a partir de las ocho y media de la tarde"
Carriola de Marín,"La exposición “Felipe VI, 2014-24, una década de la Historia de la Corona de España"" se abrirá el día 6 en la ENM - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9161,2025-05-31T00:00:00,335,"El Casino de alumnos ‘Almirante Bonifaz’acogerá la exposiciónque realiza un recorrido por la figura de sus Majestades y su papel de alta representación del Estado a lo largo de estos diez años. La entrada será libre con pases horarios, a cada hora en punto del horario establecido."
Carriola de Marín,"El equipo del Futdsal Marín ""Enrique y Novas"" viaja a Madrid para participar en el torneo triangular de Sector Nacional  - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9160,2025-05-30T00:00:00,75,"Comienza hoy el sector nacional de fútbol sala de Navalcarnero en la que el bloque femenino cadete del Marín Futsal, elEnrique y Novas Marín se enfrenta al equipo anfitrión, el Futsi."
Carriola de Marín,El pabellón del San Narciso acoge este fin de semana la previa del Campeonato de España de futsal infantil femenino - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9159,2025-05-30T00:00:00,513,"La alcaldesa María Ramallo recibió ayer a las chicas del “Club La Peña”, organizador del evento, que disputarán tres partidos clasificatorios de la fase previa del campeonato de España de sy especialidad en el pabellón de deportes del SEI San Narciso"
Carriola de Marín,Jornada final este sábado en la regata de cruceros “Aguete Cruising” con dudas en la previsiones meteorológicas - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9158,2025-05-30T00:00:00,192,"“Arpón IV Seida”, “Vagalume” y “Papanatas” intentarán mantener sus lideratos conseguidos el pasado sábado y la entrega de trofeos tendrà lugar al finalizar la prueba en las instalaciones del R.C.M. de Aguete"
Carriola de Marín,"Fallece Doña MARÍA PAZOS GONDAR (Marisa “A Jatiña”), a los 91 años de edad - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9157,2025-05-29T00:00:00,516,"La funerariaSAN MARCOScomunica el fallecimiento hoy, día29de mayo, de doñaMARÍA PAZOS GONDARcuyos restos mortales permanecerán en el Tanatorio SAN MARCOS, deMarín,  hasta el momento de su traslado,MAÑANA VIERNESdía30de mayo a lasDOCEdel mediodíaal Cementerio Municipal de A Raña para su inhumación."
Carriola de Marín,Concello y “Consorcio Galego de Benesar” firman un convenio para las prácticas del “Programa Integrado de Emprego” - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9155,2025-05-30T00:00:00,314,"El gerente del“Consorcio Galego de Igualdade e Benestar”, Perfecto Rodríguez, visitó ayer el Concello de Marín al objeto de firmar un convenio con la alcaldesa María Ramallo para facilitar las prácticas profesionales en la Residencia de Día de la Casa del Mar a las participantes en el“Programa Integrado de Emprego”"
Carriola de Marín,"Fallece Doña MARÍA BERTA POUSA CRESPO (Vda, de Juan Trabazo), a los 66 años de edad - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9154,2025-05-29T00:00:00,1170,"La funerariaSAN MARCOScomunica el fallecimiento HOY día29de mayo de doñaMARÍA BERTA POUSA CRESPOcuyos restos mortales permanecerán en el Tanatorio SAN MARCOS, deBUEU,  hasta el momento de su traslado,MAÑANA VIERNESdía30de mayo a lasCINCOde la tardea la iglesia parroquial de Ntra. Sra. Del Carmen,de Seixo(Marín) donde, a las cinco y media tendrá lugar el funeral y, a continuación, al cementerio municipal deO Campo. D.E.P."
Carriola de Marín,A Asociación “Almuinha” convoca a unha charla-coloquio sobre “Altri e Ence: espolio e secuestro do territorio” - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9153,2025-05-30T00:00:00,97,"A Asociación “Almuinha” comunica que, hoxevenres 30 de maio, ás 20:30 h, a Biblioteca Municipal Vidal Pazos de Marín acollerá a charla-coloquio “Altri e ENCE: espolio e secuestro do territorio”,organizada en colaboración coa Asociación Pola Defensa da Ría (APDR)."
